Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
400000003055464790,400000003055464789,400000003055463985,DRINKS,Liquor,Vodka/Vodka Double,,9.00,6.0,0.8571428571428571,54.00,0.9,6.0,54.00,0.0,0.00,10.80,43.20,3,0.75,0,0.8571428571428571,0.014492753623188406,0,1.0,0.011388260601363429
400000003055465604,400000003055465603,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Well Vodka,9.0,6.0,1.0,54.00,1.0,6.0,54.00,0.0,0.00,10.80,43.20,3,1.0,1.0,0.8571428571428571,0.014492753623188406,1.0,1.0,0.011388260601363429
400000003055465606,400000003055465605,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Absolut,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465608,400000003055465607,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Absolut Citron,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465610,400000003055465609,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Effen Blood Orange,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465612,400000003055465611,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Grey Goose,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465614,400000003055465613,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Ketel One,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465616,400000003055465615,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Stateside,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465618,400000003055465617,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Stolichnaya,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055465620,400000003055465619,400000003055464790,DRINKS,Liquor,Vodka/Vodka Double,DBL Tito's,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055463987,400000003055463986,400000003055461393,DRINKS,Liquor,Gin,,7.69,8.0,0.21621621621621623,61.50,0.19617224880382775,8.0,61.50,0.0,0.00,7.10,54.40,4,0.16,0,0.21621621621621623,0.01932367149758454,0,0.25337680484396835,0.014340772609124315
400000003055466738,400000003055466737,400000003055463987,DRINKS,Liquor,Gin,Well Gin,5.375,4.0,0.5,21.50,0.34959349593495936,4.0,21.50,0.0,0.00,0.00,21.50,2,0.5,0.5,0.10810810810810811,0.00966183574879227,0.3952205882352941,0.1001397298556125,0.005667768586326706
400000003055466740,400000003055466739,400000003055463987,DRINKS,Liquor,Gin,Bluecoat,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055466744,400000003055466743,400000003055463987,DRINKS,Liquor,Gin,Hendricks,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055466746,400000003055466745,400000003055463987,DRINKS,Liquor,Gin,Tanqueray,9.0,2.0,0.25,18.00,0.2926829268292683,2.0,18.00,0.0,0.00,2.70,15.30,1,0.25,0.25,0.05405405405405406,0.004830917874396135,0.28125,0.0712622263623661,0.004033342296316214
400000009299106495,400000009299106494,400000003055463987,DRINKS,Liquor,Gin,Bols Genever,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009765571767,400000009765571766,400000003055463987,DRINKS,Liquor,Gin,Beefeater,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055466742,400000003055466741,400000003055463987,DRINKS,Liquor,Gin,Bombay Saphire,11.0,2.0,0.25,22.00,0.35772357723577236,2.0,22.00,0.0,0.00,4.40,17.60,1,0.25,0.25,0.05405405405405406,0.004830917874396135,0.3235294117647059,0.08197484862598976,0.0046396617264813965
400000016523400506,400000016523400505,400000003055463987,DRINKS,Liquor,Gin,Aviation,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000022044193986,400000022044193985,400000003055463987,DRINKS,Liquor,Gin,Wild Hart Blood Orange,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055466736,400000003055466735,400000003055463987,DRINKS,Liquor,Gin/Gin Double,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055467668,400000003055467667,400000003055466736,DRINKS,Liquor,Gin/Gin Double,DBL Well Gin,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055467670,400000003055467669,400000003055466736,DRINKS,Liquor,Gin/Gin Double,DBL Bluecoat,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055467672,400000003055467671,400000003055466736,DRINKS,Liquor,Gin/Gin Double,DBL Bombay Saphire,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055467674,400000003055467673,400000003055466736,DRINKS,Liquor,Gin/Gin Double,DBL Hendricks,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055467676,400000003055467675,400000003055466736,DRINKS,Liquor,Gin/Gin Double,DBL Tanqueray,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055463989,400000003055463988,400000003055461393,DRINKS,Liquor,Rum,,6.50,1.0,0.02702702702702703,6.50,0.02073365231259968,1.0,6.50,0.0,0.00,0.00,6.50,1,0.04,0,0.02702702702702703,0.0024154589371980675,0,0.03027480204937122,0.0017135114330755158
400000003055468994,400000003055468993,400000003055463989,DRINKS,Liquor,Rum,Well Rum,6.5,1.0,1.0,6.50,1.0,1.0,6.50,0.0,0.00,0.00,6.50,1,1.0,1.0,0.02702702702702703,0.0024154589371980675,1.0,0.03027480204937122,0.0017135114330755158
400000007580160309,400000007580160308,400000003055463989,DRINKS,Liquor,Rum,Appleton Signature Blend,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055468996,400000003055468995,400000003055463989,DRINKS,Liquor,Rum,Bacardi,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055468998,400000003055468997,400000003055463989,DRINKS,Liquor,Rum,Captain Morgan,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009299176317,400000009299176316,400000003055463989,DRINKS,Liquor,Rum,Clement Rhum Agricole,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000007580179925,400000007580179924,400000003055463989,DRINKS,Liquor,Rum,Gosling's Dark,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055469104,400000003055469103,400000003055463989,DRINKS,Liquor,Rum,Kraken,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055469106,400000003055469105,400000003055463989,DRINKS,Liquor,Rum,Malibu,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009299176319,400000009299176318,400000003055463989,DRINKS,Liquor,Rum,Smith & Cross Navy Strength,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
